run,type,module,name,attrname,attrvalue,value
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,configname,ContinuityTest,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,datetime,20231221-18:53:56,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,datetimef,20231221-185356,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,experiment,ContinuityTest,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,inifile,omnetpp.ini,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,iterationvars,"$0=exponential(30s, 0)",
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,iterationvarsd,"exponential(30s,_0)",
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,iterationvarsf,"exponential(30s,_0)-",
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,measurement,"$0=exponential(30s, 0)",
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,network,SuperMarket,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,processid,19120,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,repetition,10,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,replication,#10,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,resultdir,results,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,runnumber,10,
ContinuityTest-10-20231221-18:53:56-19120,runattr,,,seedset,10,
ContinuityTest-10-20231221-18:53:56-19120,config,,,sim-time-limit,60s * 60 * 24,
ContinuityTest-10-20231221-18:53:56-19120,config,,,repeat,50,
ContinuityTest-10-20231221-18:53:56-19120,config,,,seed-set,10,
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.C,4,
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.checkout.queues.serviceTime,3s,
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
ContinuityTest-10-20231221-18:53:56-19120,config,,,network,SuperMarket,
ContinuityTest-10-20231221-18:53:56-19120,config,,,sim-time-limit,60s * 60 * 24,
ContinuityTest-10-20231221-18:53:56-19120,config,,,repeat,50,
ContinuityTest-10-20231221-18:53:56-19120,config,,,seed-set,10,
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.C,4,
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.checkout.p,0.5,
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.checkout.classifier.K,16,
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.checkout.queues.serviceTime,3s,
ContinuityTest-10-20231221-18:53:56-19120,config,,,num-rngs,2,
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.source.rng-0,0,
ContinuityTest-10-20231221-18:53:56-19120,config,,,SuperMarket.source.rng-1,1,
